,Title,Location,Price,Land Area,House Area,Bedrooms,Bathrooms,Floors,Parking,Road
0,Hotel Resort for Sale,"Panchkhal, Kavrepalanchok",Rs. 12Cr,,,15,15,2,30 Cars & 50 Bikes,20 Feet 
1,House for Sale,"Sukedhara, Kathmandu",Rs. 3.99Cr,,,6,3,2.5,1 Car ,13 Feet 
2,House for Sale,"Dhumbarahi, Kathmandu",Rs. 6.6Cr,,,8,4,3,4 Cars & 5 Bikes,12 Feet 
3,Bungalow House for Sale,"Dhumbarahi, Kathmandu",Rs. 4.49Cr,,,5,8,2.5,2 Cars & 4 Bikes,19 Feet 
4,Bungalow House for Sale,"Budhanilkantha, Kathmandu",Rs. 3.79Cr,,,6,5,2.5,1 Car & 3 Bikes,14 Feet 
5,Bungalow House for Sale,"Ganesh Chowk, Kathmandu",Rs. 3.75Cr,,,6,4,2.5,1 Car & 3 Bikes,13 Feet 
6,Hotel for Sale,"Gongabu, Kathmandu",Rs. 8.5Cr,,,20,22,7,5 Cars ,20 Feet 
7,House for Sale,"Bhaisepati, Lalitpur",Rs. 4.3Cr,,,5,6,2.5,1 Car ,12 Feet 
8,House for Sale,"Aakasedhara, Kathmandu",Rs. 4.99Cr,,4000 Sq. Ft.,10,4,4,1 Car & 2 Bikes,16 Feet 
9,House for Sale,"Basundhara, Kathmandu",Rs. 3.5Cr,,3500 Sq. Ft.,7,3,3.5,1 Car & 2 Bikes,16 Feet 
10,House for Sale,"Basundhara, Kathmandu",Rs. 3.7Cr,,3500 Sq. Ft.,7,3,3.5,1 Car & 2 Bikes,16 Feet 
11,House for Sale,"Samakhusi, Kathmandu",Rs. 5Cr,,3500 Sq. Ft.,7,3,2.5,1 Car & 2 Bikes,16 Feet 
12,House for Sale,"Tikathali, Lalitpur",Rs. 2.7Cr,,3000 Sq. Ft.,5,4,3,1 Car & 3 Bikes,13 Feet 
13,House for Sale,"Golfutar, Kathmandu",Rs. 5.9Cr,,,5,3,2.5,1 Car & 2 Bikes,17 Feet 
14,Bungalow House for Sale,"Pasikot, Kathmandu",Rs. 6.5Cr,,,5,5,2.5,3 Cars ,20 Feet 
15,House for Sale,"Pasikot, Kathmandu",Rs. 3.25Cr,,2400 Sq. Ft.,5,4,,1 Car ,20 Feet 
16,Bungalow House for Sale,"Pasikot, Kathmandu",Rs. 10Cr,,,4,4,2.5,,13 Feet 
17,House for Sale,"Makalbari, Kathmandu",Rs. 1.8Cr,,,2,1,1,1 Car ,13 Feet 
18,House for Sale,"Siddhartha Colony, Kathmandu",Rs. 7.8Cr,,2500 Sq. Ft.,4,4,2.5,2 Cars & 4 Bikes,18 Feet 
19,Commercial Complex for Sale,"Maharajgunj, Kathmandu",Rs. 13Cr,,,,,5,,32 Feet 
20,House for Sale,"Ganesh Chowk, Kathmandu",Rs. 3.4Cr,,3500 Sq. Ft.,9,5,2.5,1 Car & 2 Bikes,16 Feet 
21,House for Sale,"Chapali, Kathmandu",Rs. 5Cr,,2500 Sq. Ft.,5,2,2.5,1 Car & 2 Bikes,16 Feet 
22,House for Sale,"Lasuntar, Kathmandu",Rs. 5Cr,,3000 Sq. Ft.,6,3,2.5,1 Car & 2 Bikes,16 Feet 
23,House for Sale,"Budhanilkantha, Kathmandu",Rs. 3.25Cr,,,6,4,2.5,1 Car & 4 Bikes,13 Feet 
24,House for Sale,"Lasuntar, Kathmandu",Rs. 3Cr,,,6,4,2.5,,13 Feet 
25,House for Sale,"Ganesh Chowk, Kathmandu",Rs. 4.7Cr,,,6,6,2.5,2 Cars & 4 Bikes,13 Feet 
